Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.840381375,-0.060218281,-0.057200387,-0.572763425,0.578753891
2.850391375,-0.063172952,-0.129877185,-0.589280055,0.606720601
2.860401375,-0.041931772,-0.288056647,-0.662142209,0.723302986
2.870410375,-0.066094368,-0.384391864,-0.739764581,0.836287753
2.880390375,-0.07245972,-0.402635177,-0.828879071,0.924340853
2.890399375,-0.087293302,-0.384867827,-0.80107673,0.893010242
2.900409375,-0.108304686,-0.355168357,-0.746480693,0.833731307
2.910419375,-0.081042263,-0.23592375,-0.731743956,0.773095777
2.920398375,0.010177079,-0.098589611,-0.668106369,0.675418096
2.930408375,0.094601664,-0.07057063,-0.65108337,0.661694222
2.940418375,0.158099283,-0.052862923,-0.613064189,0.635324776
2.950397375,0.258201787,-0.00370158,-0.529819134,0.58939815
2.960407375,0.02176034,-0.002626569,-0.290960959,0.291785351
2.970417375,-0.068227066,-0.00475554,-0.207296659,0.218287545
2.980426375,-0.143980084,0.031094323,-0.176962473,0.230245171
2.990406375,-0.121918101,0.05184463,-0.22981604,0.265268357
3.000415375,-0.114120839,0.09697841,-0.171264362,0.227507933
3.010425375,-0.109611832,0.091816196,-0.086203161,0.166960931
3.020435375,-0.159078764,0.055696776,0.014999278,0.169213364
3.030414375,-0.161455731,0.050359437,0.094257116,0.193619291
3.040424375,-0.195627005,0.072937876,0.218222181,0.302011224
3.050434375,-0.192501814,0.122893855,0.299197932,0.376403043
3.060413375,-0.193185866,0.22384808,0.365612361,0.47021393
3.070423375,-0.163452189,0.324018485,0.442450622,0.572247455
3.080432375,-0.072193014,0.33839445,0.526008503,0.62960907
3.090442375,-0.123041643,0.175210648,0.629893645,0.665284917
3.100421375,-0.133654047,0.018493574,0.701115655,0.713980797
3.110431375,-0.223849761,0.040018929,1.024034572,1.048979044
3.120441375,-0.332193112,0.027676041,1.170447097,1.21698999
3.130451375,-0.379211669,-0.066558271,1.228066145,1.287003477
3.140430375,-0.380150367,-0.144505164,1.170911366,1.239527923
3.150440375,-0.418416593,-0.073001318,1.061501775,1.143323076
3.160450375,-0.462915219,0.083481429,0.959211754,1.068338354
3.170429375,-0.41355032,0.247587044,0.835466545,0.964534893
3.180439375,-0.319225449,0.340577654,0.777327679,0.906717347
3.190448375,-0.295116575,0.455834314,0.809842291,0.975050384
3.200458375,-0.26518234,0.490635919,0.750953228,0.935401534
3.210437375,-0.25365185,0.413061201,0.684611304,0.83883935
3.220447375,-0.313237243,0.318675007,0.613429055,0.758924592
3.230457375,-0.400174815,0.316358487,0.613990388,0.798252323
3.240467375,-0.402997704,0.370583957,0.702224287,0.89042606
3.250446375,-0.32694699,0.436404601,0.666444005,0.861098672
3.260456375,-0.274733401,0.465068676,0.553507959,0.773394062
3.270465375,-0.19785304,0.455371799,0.479244812,0.690061512
3.280445375,-0.064517447,0.455448544,0.472722827,0.659592866
3.290454375,-0.020938587,0.503528152,0.428035482,0.661206018
3.300464375,-0.003729208,0.484773939,0.405614333,0.632093874
3.310474375,0.040791053,0.393652392,0.530744163,0.662053988
3.320453375,0.075945245,0.248707079,0.643983096,0.694504945
3.330463375,0.165140865,0.145963167,0.593130446,0.632756254
3.340473375,0.172556304,0.041115428,0.654056679,0.677684511
3.350482375,0.016995517,-0.005435572,0.735844608,0.736060921
